id,name,open,labeled,commented,closed
MDExOlB1bGxSZXF1ZXN0MTUyMDI1OTY=,https://github.com/ledgersmb/LedgerSMB/pull/14,2014-04-26T13:48:09Z,,,2014-04-26T13:48:21Z
MDExOlB1bGxSZXF1ZXN0MTUyMDI2NDc=,https://github.com/ledgersmb/LedgerSMB/pull/15,2014-04-26T13:54:32Z,,,2014-04-26T13:54:37Z
MDExOlB1bGxSZXF1ZXN0MTUyMDMxMTg=,https://github.com/ledgersmb/LedgerSMB/pull/16,2014-04-26T15:00:52Z,,,2014-04-26T15:02:25Z
MDExOlB1bGxSZXF1ZXN0MTUyMDMxNDE=,https://github.com/ledgersmb/LedgerSMB/pull/17,2014-04-26T15:04:43Z,,,2014-04-26T15:04:55Z
MDExOlB1bGxSZXF1ZXN0MTUyMDQ2NjE=,https://github.com/ledgersmb/LedgerSMB/pull/18,2014-04-26T17:57:57Z,,,2014-04-26T17:58:06Z
MDExOlB1bGxSZXF1ZXN0MTUyMDUwOTU=,https://github.com/ledgersmb/LedgerSMB/pull/19,2014-04-26T18:50Z,,,2014-04-26T18:50:06Z
MDExOlB1bGxSZXF1ZXN0MTUyMDUxMDA=,https://github.com/ledgersmb/LedgerSMB/pull/20,2014-04-26T18:50:47Z,,,2014-04-26T18:50:51Z
MDExOlB1bGxSZXF1ZXN0MTUyMDYzMTg=,https://github.com/ledgersmb/LedgerSMB/pull/21,2014-04-26T21:14:41Z,,,2014-04-26T21:14:46Z
MDExOlB1bGxSZXF1ZXN0MTUyMTIxMjU=,https://github.com/ledgersmb/LedgerSMB/pull/22,2014-04-27T13:58:55Z,,,2014-04-27T13:59Z
MDExOlB1bGxSZXF1ZXN0MTUyMTIxMzI=,https://github.com/ledgersmb/LedgerSMB/pull/23,2014-04-27T13:59:39Z,,,2014-04-27T13:59:46Z
MDExOlB1bGxSZXF1ZXN0MTUyMTQxNDI=,https://github.com/ledgersmb/LedgerSMB/pull/24,2014-04-27T18:13:35Z,,,2014-04-27T18:13:41Z
MDExOlB1bGxSZXF1ZXN0MTUyMTU1MjA=,https://github.com/ledgersmb/LedgerSMB/pull/25,2014-04-27T20:40:06Z,,,2014-04-27T20:40:11Z
MDExOlB1bGxSZXF1ZXN0MTUyMTU1Mjg=,https://github.com/ledgersmb/LedgerSMB/pull/26,2014-04-27T20:40:51Z,,,2014-04-27T20:40:55Z
MDExOlB1bGxSZXF1ZXN0MTUyMTU5MzQ=,https://github.com/ledgersmb/LedgerSMB/pull/27,2014-04-27T21:23:43Z,,,2014-04-27T21:23:49Z
MDExOlB1bGxSZXF1ZXN0MTUyMTU5Mzk=,https://github.com/ledgersmb/LedgerSMB/pull/28,2014-04-27T21:24:16Z,,,2014-04-27T21:24:23Z
MDExOlB1bGxSZXF1ZXN0MTUyMTU5NDU=,https://github.com/ledgersmb/LedgerSMB/pull/29,2014-04-27T21:24:41Z,,,2014-04-27T21:24:46Z
MDExOlB1bGxSZXF1ZXN0MTUyMTYwODA=,https://github.com/ledgersmb/LedgerSMB/pull/30,2014-04-27T21:37:53Z,,,2014-04-27T21:37:58Z
MDExOlB1bGxSZXF1ZXN0MTUyMTYwODM=,https://github.com/ledgersmb/LedgerSMB/pull/31,2014-04-27T21:38:13Z,,,2014-04-27T21:38:19Z
MDExOlB1bGxSZXF1ZXN0MTUyMTYwODg=,https://github.com/ledgersmb/LedgerSMB/pull/32,2014-04-27T21:38:46Z,,,2014-04-27T21:38:50Z
MDExOlB1bGxSZXF1ZXN0MTUyMzM2MDg=,https://github.com/ledgersmb/LedgerSMB/pull/33,2014-04-28T12:14:50Z,,,2014-04-28T12:14:54Z
MDExOlB1bGxSZXF1ZXN0MTUyMzM2MTc=,https://github.com/ledgersmb/LedgerSMB/pull/34,2014-04-28T12:15:07Z,,2014-04-28T12:15:20Z,2014-04-28T12:51:12Z
MDExOlB1bGxSZXF1ZXN0MTUyMzM2OTA=,https://github.com/ledgersmb/LedgerSMB/pull/35,2014-04-28T12:17:16Z,,,2014-04-28T12:17:29Z
MDExOlB1bGxSZXF1ZXN0MTUzNDU4MTQ=,https://github.com/ledgersmb/LedgerSMB/pull/36,2014-04-30T14:41:15Z,,,2014-04-30T14:41:23Z
MDExOlB1bGxSZXF1ZXN0MTUzNDYxMTE=,https://github.com/ledgersmb/LedgerSMB/pull/37,2014-04-30T14:46:41Z,,,2014-04-30T14:47:31Z
MDExOlB1bGxSZXF1ZXN0MTU0NzA4NDk=,https://github.com/ledgersmb/LedgerSMB/pull/38,2014-05-04T10:59:58Z,,,2014-05-06T15:06:26Z
MDExOlB1bGxSZXF1ZXN0MTU0NzA4NzM=,https://github.com/ledgersmb/LedgerSMB/pull/39,2014-05-04T11:03:10Z,,,2014-05-06T15:08:12Z
MDExOlB1bGxSZXF1ZXN0MTU2NTM5Mzc=,https://github.com/ledgersmb/LedgerSMB/pull/40,2014-05-08T14:54Z,,,2014-05-08T14:54:14Z
MDExOlB1bGxSZXF1ZXN0MTU3NDU2Mzc=,https://github.com/ledgersmb/LedgerSMB/pull/41,2014-05-11T20:00:17Z,,2014-05-11T20:00:54Z,2014-05-11T20:07:48Z
